373.595: [GC 373.595: [ParNew: 427431K->27084K(440896K), 0.0945550 secs] 900786K->504140K(8339648K), 0.0948040 secs] [Times: user=1.98 sys=0.00, real=0.10 secs] 
376.002: [GC 376.002: [ParNew: 419020K->27567K(440896K), 0.0455160 secs] 896076K->510842K(8339648K), 0.0457520 secs] [Times: user=0.45 sys=0.04, real=0.05 secs] 
380.015: [GC 380.015: [ParNew: 419503K->22747K(440896K), 0.0503480 secs] 902778K->509908K(8339648K), 0.0505840 secs] [Times: user=0.86 sys=0.02, real=0.05 secs] 
385.785: [GC 385.785: [ParNew: 414683K->28748K(440896K), 0.0357360 secs] 901844K->520810K(8339648K), 0.0360790 secs] [Times: user=0.58 sys=0.03, real=0.04 secs] 
389.090: [GC 389.090: [ParNew: 420684K->31419K(440896K), 0.0511120 secs] 912746K->526996K(8339648K), 0.0513620 secs] [Times: user=0.82 sys=0.00, real=0.05 secs] 
393.813: [GC 393.814: [ParNew: 423355K->34987K(440896K), 0.0595480 secs] 918932K->533495K(8339648K), 0.0598190 secs] [Times: user=1.11 sys=0.00, real=0.06 secs] 
396.463: [GC 396.463: [ParNew: 426923K->34785K(440896K), 0.0669840 secs] 925431K->537827K(8339648K), 0.0672100 secs] [Times: user=1.16 sys=0.06, real=0.07 secs] 
400.795: [GC 400.795: [ParNew: 426721K->27885K(440896K), 0.1028810 secs] 929763K->539583K(8339648K), 0.1031690 secs] [Times: user=1.77 sys=0.01, real=0.11 secs] 
403.578: [GC 403.578: [ParNew: 419821K->27395K(440896K), 0.0601980 secs] 931519K->542663K(8339648K), 0.0604360 secs] [Times: user=1.22 sys=0.01, real=0.06 secs] 
406.116: [GC 406.116: [ParNew: 419331K->29253K(440896K), 0.0546660 secs] 934599K->550705K(8339648K), 0.0549300 secs] [Times: user=1.00 sys=0.02, real=0.06 secs] 
414.206: [GC 414.207: [ParNew: 421189K->28728K(440896K), 0.0501290 secs] 942641K->551254K(8339648K), 0.0504070 secs] [Times: user=1.11 sys=0.00, real=0.05 secs] 
416.633: [GC 416.633: [ParNew: 420664K->33621K(440896K), 0.0491970 secs] 943190K->562822K(8339648K), 0.0494620 secs] [Times: user=0.57 sys=0.01, real=0.05 secs] 
419.891: [GC 419.891: [ParNew: 425557K->26711K(440896K), 0.0404360 secs] 954758K->559715K(8339648K), 0.0407440 secs] [Times: user=0.48 sys=0.00, real=0.04 secs] 
424.604: [GC 424.604: [ParNew: 418647K->30707K(440896K), 0.0661180 secs] 951651K->567429K(8339648K), 0.0663810 secs] [Times: user=1.35 sys=0.02, real=0.07 secs] 
429.324: [GC 429.324: [ParNew: 422643K->31749K(440896K), 0.0576380 secs] 959365K->575434K(8339648K), 0.0579020 secs] [Times: user=0.86 sys=0.02, real=0.06 secs] 
431.824: [GC 431.824: [ParNew: 423685K->28913K(440896K), 0.0367740 secs] 967370K->576206K(8339648K), 0.0370070 secs] [Times: user=0.67 sys=0.03, real=0.04 secs] 
434.596: [GC 434.596: [ParNew: 420849K->29498K(440896K), 0.0405260 secs] 968142K->580503K(8339648K), 0.0407290 secs] [Times: user=0.65 sys=0.00, real=0.04 secs] 
438.544: [GC 438.544: [ParNew: 421434K->30170K(440896K), 0.0481340 secs] 972439K->588134K(8339648K), 0.0483990 secs] [Times: user=0.71 sys=0.00, real=0.05 secs] 
444.119: [GC 444.119: [ParNew: 422106K->30040K(440896K), 0.0469550 secs] 980070K->591840K(8339648K), 0.0472220 secs] [Times: user=0.81 sys=0.00, real=0.04 secs] 
446.581: [GC 446.581: [ParNew: 421976K->29822K(440896K), 0.0448030 secs] 983776K->595644K(8339648K), 0.0450620 secs] [Times: user=0.72 sys=0.00, real=0.04 secs] 
449.815: [GC 449.815: [ParNew: 421758K->29535K(440896K), 0.0451520 secs] 987580K->598944K(8339648K), 0.0454290 secs] [Times: user=0.80 sys=0.00, real=0.05 secs] 
456.352: [GC 456.353: [ParNew: 421471K->40342K(440896K), 0.1017790 secs] 990880K->615963K(8339648K), 0.1021140 secs] [Times: user=1.97 sys=0.00, real=0.10 secs] 
459.908: [GC 459.908: [ParNew: 432278K->42933K(440896K), 0.1272070 secs] 1007899K->623045K(8339648K), 0.1274850 secs] [Times: user=2.69 sys=0.02, real=0.12 secs] 
461.270: [GC 461.270: [ParNew: 434869K->42120K(440896K), 0.0679320 secs] 1014981K->629844K(8339648K), 0.0682460 secs] [Times: user=0.88 sys=0.00, real=0.07 secs] 
463.800: [GC 463.800: [ParNew: 434056K->34901K(440896K), 0.0646720 secs] 1021780K->632852K(8339648K), 0.0649780 secs] [Times: user=0.73 sys=0.04, real=0.06 secs] 
465.413: [GC 465.414: [ParNew: 426837K->29757K(440896K), 0.1032360 secs] 1024788K->627709K(8339648K), 0.1034480 secs] [Times: user=2.28 sys=0.00, real=0.10 secs] 
474.130: [GC 474.130: [ParNew: 421693K->32293K(440896K), 0.2052630 secs] 1019645K->643649K(8339648K), 0.2055690 secs] [Times: user=3.47 sys=0.05, real=0.20 secs] 
479.602: [GC 479.602: [ParNew: 424229K->28033K(440896K), 0.1114380 secs] 1035585K->640912K(8339648K), 0.1116880 secs] [Times: user=2.30 sys=0.01, real=0.11 secs] 
480.967: [GC 480.967: [ParNew: 419969K->33434K(440896K), 0.0411210 secs] 1032848K->650137K(8339648K), 0.0413230 secs] [Times: user=0.66 sys=0.01, real=0.05 secs] 
484.513: [GC 484.513: [ParNew: 425370K->39344K(440896K), 0.0397800 secs] 1042073K->658921K(8339648K), 0.0400280 secs] [Times: user=0.50 sys=0.01, real=0.04 secs] 
489.378: [GC 489.378: [ParNew: 431280K->41133K(440896K), 0.0464170 secs] 1050857K->668637K(8339648K), 0.0466550 secs] [Times: user=0.48 sys=0.01, real=0.04 secs] 
490.664: [GC 490.664: [ParNew: 433069K->28759K(440896K), 0.0591020 secs] 1060573K->663253K(8339648K), 0.0593460 secs] [Times: user=0.93 sys=0.04, real=0.06 secs] 
494.633: [GC 494.633: [ParNew: 420695K->28886K(440896K), 0.0632120 secs] 1055189K->666152K(8339648K), 0.0634540 secs] [Times: user=1.30 sys=0.00, real=0.06 secs] 
499.348: [GC 499.348: [ParNew: 420822K->32087K(440896K), 0.0818070 secs] 1058088K->674697K(8339648K), 0.0820520 secs] [Times: user=1.50 sys=0.00, real=0.08 secs] 
504.827: [GC 504.827: [ParNew: 424023K->32505K(440896K), 0.0540540 secs] 1066633K->683523K(8339648K), 0.0543380 secs] [Times: user=0.85 sys=0.01, real=0.05 secs] 
509.004: [GC 509.004: [ParNew: 424441K->28551K(440896K), 0.0298420 secs] 1075459K->680609K(8339648K), 0.0301030 secs] [Times: user=0.64 sys=0.01, real=0.03 secs] 
513.867: [GC 513.867: [ParNew: 420487K->35313K(440896K), 0.0418520 secs] 1072545K->691193K(8339648K), 0.0421180 secs] [Times: user=0.76 sys=0.02, real=0.05 secs] 
518.673: [GC 518.673: [ParNew: 427249K->37284K(440896K), 0.0516470 secs] 1083129K->700236K(8339648K), 0.0519080 secs] [Times: user=0.68 sys=0.02, real=0.05 secs] 
520.329: [GC 520.330: [ParNew: 429220K->35370K(440896K), 0.0433780 secs] 1092172K->704205K(8339648K), 0.0436150 secs] [Times: user=0.64 sys=0.01, real=0.04 secs] 
523.990: [GC 523.990: [ParNew: 427306K->28985K(440896K), 0.0447490 secs] 1096141K->702545K(8339648K), 0.0450340 secs] [Times: user=0.69 sys=0.02, real=0.04 secs] 
525.498: [GC 525.498: [ParNew: 420921K->28040K(440896K), 0.0384400 secs] 1094481K->707546K(8339648K), 0.0386900 secs] [Times: user=0.48 sys=0.01, real=0.03 secs] 
534.221: [GC 534.221: [ParNew: 419976K->27964K(440896K), 0.0461530 secs] 1099482K->712454K(8339648K), 0.0464490 secs] [Times: user=0.62 sys=0.04, real=0.05 secs] 
535.736: [GC 535.736: [ParNew: 419900K->30616K(440896K), 0.0332680 secs] 1104390K->718973K(8339648K), 0.0334800 secs] [Times: user=0.62 sys=0.00, real=0.04 secs] 
539.727: [GC 539.727: [ParNew: 422552K->31564K(440896K), 0.0341240 secs] 1110909K->723696K(8339648K), 0.0343730 secs] [Times: user=0.51 sys=0.00, real=0.04 secs] 
544.611: [GC 544.611: [ParNew: 423500K->34184K(440896K), 0.0346740 secs] 1115632K->729255K(8339648K), 0.0349070 secs] [Times: user=0.69 sys=0.00, real=0.03 secs] 
549.460: [GC 549.460: [ParNew: 426120K->35712K(440896K), 0.0657000 secs] 1121191K->741023K(8339648K), 0.0659620 secs] [Times: user=0.54 sys=0.02, real=0.06 secs] 
550.757: [GC 550.757: [ParNew: 427648K->26371K(440896K), 0.0408230 secs] 1132959K->733072K(8339648K), 0.0410270 secs] [Times: user=0.81 sys=0.00, real=0.05 secs] 
554.738: [GC 554.738: [ParNew: 418307K->29220K(440896K), 0.0355620 secs] 1125008K->739769K(8339648K), 0.0357720 secs] [Times: user=0.41 sys=0.02, real=0.03 secs] 
559.452: [GC 559.453: [ParNew: 421156K->31773K(440896K), 0.0436040 secs] 1131705K->749345K(8339648K), 0.0438660 secs] [Times: user=0.36 sys=0.04, real=0.04 secs] 
564.880: [GC 564.881: [ParNew: 423709K->29940K(440896K), 0.0450930 secs] 1141281K->753615K(8339648K), 0.0453780 secs] [Times: user=0.59 sys=0.02, real=0.04 secs] 
569.168: [GC 569.169: [ParNew: 421876K->33144K(440896K), 0.0414350 secs] 1145551K->757938K(8339648K), 0.0416790 secs] [Times: user=0.74 sys=0.00, real=0.04 secs] 
570.606: [GC 570.607: [ParNew: 425080K->32736K(440896K), 0.0346470 secs] 1149874K->761291K(8339648K), 0.0348750 secs] [Times: user=0.64 sys=0.01, real=0.04 secs] 
578.764: [GC 578.764: [ParNew: 424672K->35876K(440896K), 0.0485410 secs] 1153227K->771604K(8339648K), 0.0488100 secs] [Times: user=0.67 sys=0.01, real=0.05 secs] 
580.287: [GC 580.287: [ParNew: 427812K->35402K(440896K), 0.0380280 secs] 1163540K->777262K(8339648K), 0.0382460 secs] [Times: user=0.54 sys=0.00, real=0.04 secs] 
584.080: [GC 584.080: [ParNew: 427338K->27020K(440896K), 0.0326110 secs] 1169198K->773257K(8339648K), 0.0328670 secs] [Times: user=0.45 sys=0.01, real=0.03 secs] 
588.888: [GC 588.888: [ParNew: 418956K->31874K(440896K), 0.0464620 secs] 1165193K->780838K(8339648K), 0.0467150 secs] [Times: user=0.90 sys=0.00, real=0.04 secs] 
594.435: [GC 594.435: [ParNew: 423810K->35750K(440896K), 0.0575940 secs] 1172774K->792748K(8339648K), 0.0578700 secs] [Times: user=0.70 sys=0.02, real=0.06 secs] 
595.729: [GC 595.729: [ParNew: 427686K->33091K(440896K), 0.0313490 secs] 1184684K->793737K(8339648K), 0.0315820 secs] [Times: user=0.36 sys=0.01, real=0.03 secs] 
599.933: [GC 599.933: [ParNew: 425027K->32039K(440896K), 0.0330130 secs] 1185673K->796330K(8339648K), 0.0332570 secs] [Times: user=0.57 sys=0.00, real=0.03 secs] 
604.201: [GC 604.201: [ParNew: 423975K->31409K(440896K), 0.0467600 secs] 1188266K->801914K(8339648K), 0.0470390 secs] [Times: user=0.63 sys=0.00, real=0.05 secs] 
609.671: [GC 609.671: [ParNew: 423345K->29619K(440896K), 0.0411130 secs] 1193850K->807358K(8339648K), 0.0413660 secs] [Times: user=0.50 sys=0.01, real=0.04 secs] 
610.947: [GC 610.947: [ParNew: 421555K->30898K(440896K), 0.0292050 secs] 1199294K->810198K(8339648K), 0.0293930 secs] [Times: user=0.46 sys=0.01, real=0.03 secs] 
614.914: [GC 614.914: [ParNew: 422834K->31117K(440896K), 0.0292810 secs] 1202134K->814315K(8339648K), 0.0295150 secs] [Times: user=0.42 sys=0.01, real=0.03 secs] 
623.730: [GC 623.730: [ParNew: 423053K->34033K(440896K), 0.0492660 secs] 1206251K->824204K(8339648K), 0.0495540 secs] [Times: user=0.60 sys=0.03, real=0.05 secs] 
625.332: [GC 625.332: [ParNew: 425969K->33926K(440896K), 0.0435100 secs] 1216140K->830467K(8339648K), 0.0437860 secs] [Times: user=0.53 sys=0.02, real=0.04 secs] 
629.417: [GC 629.417: [ParNew: 425862K->33348K(440896K), 0.0291400 secs] 1222403K->831134K(8339648K), 0.0293720 secs] [Times: user=0.62 sys=0.00, real=0.03 secs] 
630.667: [GC 630.667: [ParNew: 425284K->33489K(440896K), 0.0305540 secs] 1223070K->834915K(8339648K), 0.0307650 secs] [Times: user=0.54 sys=0.00, real=0.04 secs] 
639.143: [GC 639.143: [ParNew: 425425K->32578K(440896K), 0.0827540 secs] 1226851K->845138K(8339648K), 0.0830350 secs] [Times: user=0.70 sys=0.03, real=0.08 secs] 
640.719: [GC 640.719: [ParNew: 424514K->26494K(440896K), 0.0346560 secs] 1237074K->843177K(8339648K), 0.0348780 secs] [Times: user=0.44 sys=0.00, real=0.03 secs] 
644.525: [GC 644.525: [ParNew: 418430K->28252K(440896K), 0.0368560 secs] 1235113K->848399K(8339648K), 0.0370680 secs] [Times: user=0.69 sys=0.02, real=0.04 secs] 
649.221: [GC 649.221: [ParNew: 420188K->33454K(440896K), 0.0335310 secs] 1240335K->856413K(8339648K), 0.0337880 secs] [Times: user=0.49 sys=0.01, real=0.03 secs] 
654.681: [GC 654.681: [ParNew: 425390K->36683K(440896K), 0.0506810 secs] 1248349K->867259K(8339648K), 0.0509580 secs] [Times: user=0.61 sys=0.03, real=0.05 secs] 
658.810: [GC 658.810: [ParNew: 428619K->38266K(440896K), 0.0507530 secs] 1259195K->872647K(8339648K), 0.0510330 secs] [Times: user=0.89 sys=0.02, real=0.05 secs] 
669.119: [GC 669.119: [ParNew: 430202K->45383K(440896K), 0.0414130 secs] 1264583K->883328K(8339648K), 0.0417010 secs] [Times: user=0.68 sys=0.00, real=0.04 secs] 
670.471: [GC 670.471: [ParNew: 437319K->42847K(440896K), 0.0908720 secs] 1275264K->896397K(8339648K), 0.0911340 secs] [Times: user=0.74 sys=0.07, real=0.09 secs] 
671.653: [GC 671.653: [ParNew: 434783K->30337K(440896K), 0.0263180 secs] 1288333K->883887K(8339648K), 0.0265240 secs] [Times: user=0.47 sys=0.00, real=0.03 secs] 
674.378: [GC 674.379: [ParNew: 422273K->33348K(440896K), 0.0486520 secs] 1275823K->891703K(8339648K), 0.0489160 secs] [Times: user=0.72 sys=0.03, real=0.05 secs] 
675.525: [GC 675.525: [ParNew: 425284K->27969K(440896K), 0.0645910 secs] 1283639K->897205K(8339648K), 0.0648330 secs] [Times: user=0.87 sys=0.00, real=0.07 secs] 
684.080: [GC 684.080: [ParNew: 419905K->23664K(440896K), 0.0393540 secs] 1289141K->896811K(8339648K), 0.0396350 secs] [Times: user=0.63 sys=0.02, real=0.04 secs] 
685.431: [GC 685.431: [ParNew: 415600K->27896K(440896K), 0.0242580 secs] 1288747K->901490K(8339648K), 0.0244900 secs] [Times: user=0.46 sys=0.00, real=0.02 secs] 
689.649: [GC 689.649: [ParNew: 419832K->31538K(440896K), 0.0379330 secs] 1293426K->909918K(8339648K), 0.0381890 secs] [Times: user=0.47 sys=0.02, real=0.03 secs] 
